ANEXO 1. ORDENAMENTO DAS TAXAS DE ÓBITO POR AF (Homicídios e óbitos por AF; taxas médias 2010/2012 em municípios com mais de 20.000 habitantes). População Total. Brasil. 2010/2012.,,,,,,,,,,,
Município,UF,Popula-,n. homicídios AF,,,n. óbitos AF,,,Tx. Média*,,Posi-ção
Novo Aripuanã,AM,"22,106",0,2,0,1,2,1,3.0,6.0,1183º
Maués,AM,"54,079",5,4,0,5,4,0,5.5,5.5,1222º
Carauari,AM,"26,130",0,1,0,1,2,1,1.3,5.1,1266º
Tefé,AM,"61,000",2,4,0,4,4,0,3.3,4.4,1337º
Nova Olinda do Norte,AM,"31,749",0,2,1,0,3,1,3.1,4.2,1361º
Codajás,AM,"24,067",2,0,1,2,0,1,4.2,4.2,1365º
Manaquiri,AM,"24,325",1,1,1,1,1,1,4.1,4.1,1369º
Borba,AM,"35,919",0,2,1,0,3,1,2.8,3.7,1398º
Lábrea,AM,"39,022",0,2,2,0,2,2,3.4,3.4,1427º
Eirunepé,AM,"31,364",0,0,1,0,1,2,1.1,3.2,1450º
Fonte Boa,AM,"23,198",0,0,0,2,0,0,0.0,2.9,1481º
Santo Antônio do Içá,AM,"24,890",0,1,1,0,1,1,2.7,2.7,1491º
Parintins,AM,"103,828",0,2,1,2,3,3,1.0,2.6,1500º
São Gabriel da Cachoeira,AM,"39,097",0,1,0,0,2,1,0.9,2.6,1502º
Barreirinha,AM,"28,077",0,0,1,0,0,1,1.2,1.2,1600º
São Paulo de Olivença,AM,"32,677",0,1,0,0,1,0,1.0,1.0,1613º
Careiro da Várzea,AM,"24,937",0,0,0,0,0,0,0.0,0.0,1627º
Ipixuna,AM,"23,460",0,0,0,0,0,0,0.0,0.0,1627º
Alvarães,AM,"14,381",1,0,0,1,0,0,,,
Amaturá,AM,"9,794",0,0,2,0,1,2,,,
Anamã,AM,"10,766",0,0,1,0,0,1,,,
Anori,AM,"17,072",0,0,0,0,0,0,,,
Apuí,AM,"18,633",2,2,3,4,2,3,,,
Atalaia do Norte,AM,"15,924",1,0,0,1,0,0,,,
Beruri,AM,"16,158",0,2,1,0,2,1,,,
Boa Vista do Ramos,AM,"15,659",0,0,0,0,1,0,,,
Caapiranga,AM,"11,303",0,0,0,0,0,0,,,
Canutama,AM,"13,986",1,0,0,1,0,0,,,
Envira,AM,"16,923",0,1,1,3,1,1,,,
Guajará,AM,"14,396",0,0,0,0,0,0,,,
Itamarati,AM,"7,983",0,0,0,0,0,0,,,
Itapiranga,AM,"8,348",1,0,0,1,0,0,,,
Japurá,AM,"7,448",0,0,0,0,0,0,,,
Juruá,AM,"11,439",0,0,0,0,0,0,,,
Jutaí,AM,"18,293",0,0,0,0,0,1,,,
Maraã,AM,"17,596",0,0,0,0,0,0,,,
Nhamundá,AM,"18,720",0,0,0,0,0,0,,,
Novo Airão,AM,"15,489",1,0,0,1,0,0,,,
Pauini,AM,"18,329",1,0,0,1,0,0,,,
Santa Isabel do Rio Negro,AM,"19,292",0,0,0,0,1,0,,,
São Sebastião do Uatumã,AM,"11,241",0,1,0,0,1,0,,,
Silves,AM,"8,544",0,0,0,0,0,0,,,
Tapauá,AM,"17,903",0,1,1,0,2,1,,,
Tonantins,AM,"17,316",0,0,0,1,0,0,,,
Uarini,AM,"12,139",0,0,0,0,0,0,,,
Urucará,AM,"16,902",1,0,2,2,0,2,,,
