ANEXO 1. ORDENAMENTO DAS TAXAS DE ÓBITO POR AF (Homicídios e óbitos por AF; taxas médias 2010/2012 em municípios com mais de 20.000 habitantes). População Total. Brasil. 2010/2012.,,,,,,,,,,,
Município,UF,Popula-,n. homicídios AF,,,n. óbitos AF,,,Tx. Média*,,Posi-ção
Orobó,PE,"22,996",1,0,1,1,0,1,2.9,2.9,1479º
Afrânio,PE,"17,975",1,1,1,1,1,1,,,
Alagoinha,PE,"13,741",4,3,3,4,5,3,,,
Angelim,PE,"10,372",2,1,1,2,1,1,,,
Araçoiaba,PE,"18,617",6,3,4,6,3,4,,,
Barra de Guabiraba,PE,"13,054",2,0,4,2,0,4,,,
Belém de Maria,PE,"11,463",7,1,3,8,1,3,,,
Betânia,PE,"12,109",4,6,4,4,6,4,,,
Brejão,PE,"8,834",0,3,1,0,3,1,,,
Brejinho,PE,"7,312",0,0,0,0,0,0,,,
Buenos Aires,PE,"12,618",2,1,1,2,1,1,,,
Cachoeirinha,PE,"19,088",2,1,2,2,1,2,,,
Calçado,PE,"11,051",0,0,0,0,0,0,,,
Calumbi,PE,"5,643",1,0,0,1,0,0,,,
Camocim de São Félix,PE,"17,405",0,2,0,0,2,0,,,
Camutanga,PE,"8,204",1,1,0,1,1,0,,,
Capoeiras,PE,"19,599",1,3,6,2,3,6,,,
Carnaíba,PE,"18,707",3,1,2,3,1,2,,,
Carnaubeira da Penha,PE,"11,991",6,3,2,6,3,2,,,
Casinhas,PE,"13,830",3,1,1,3,1,1,,,
Cedro,PE,"10,964",2,1,0,2,1,0,,,
Chã de Alegria,PE,"12,601",2,3,2,2,3,2,,,
Correntes,PE,"17,374",4,3,4,4,3,4,,,
Cortês,PE,"12,418",0,3,2,0,3,2,,,
Cumaru,PE,"17,470",0,2,1,0,2,1,,,
Dormentes,PE,"17,296",1,0,0,1,0,0,,,
Fernando de Noronha,PE,"2,718",0,0,0,0,0,0,,,
Ferreiros,PE,"11,537",1,0,1,1,0,1,,,
Frei Miguelinho,PE,"14,492",0,3,0,0,3,0,,,
Granito,PE,"6,968",2,1,3,2,1,3,,,
Iati,PE,"18,462",2,7,9,2,7,9,,,
Ibirajuba,PE,"7,549",4,1,0,4,1,0,,,
Iguaraci,PE,"11,824",0,0,0,0,0,0,,,
Inajá,PE,"19,957",1,3,3,1,3,3,,,
Ingazeira,PE,"4,486",0,0,1,0,0,1,,,
Itacuruba,PE,"4,475",0,1,0,0,1,0,,,
Itapetim,PE,"13,748",1,3,0,1,3,1,,,
Itaquitinga,PE,"16,221",3,3,1,3,3,1,,,
Jaqueira,PE,"11,479",3,4,2,3,4,2,,,
Jataúba,PE,"16,219",1,4,9,1,4,9,,,
Jatobá,PE,"14,087",2,3,1,2,3,1,,,
Joaquim Nabuco,PE,"15,751",2,0,1,2,0,1,,,
Jucati,PE,"10,742",3,1,2,3,1,2,,,
Jupi,PE,"13,899",7,6,5,7,6,5,,,
Jurema,PE,"14,662",0,2,5,0,2,5,,,
Lagoa do Carro,PE,"16,408",1,3,0,1,3,0,,,
Lagoa do Ouro,PE,"12,307",1,1,3,1,1,3,,,
Lagoa dos Gatos,PE,"15,731",1,3,6,1,4,6,,,
Machados,PE,"14,109",0,0,0,0,0,0,,,
Manari,PE,"18,847",2,0,4,2,0,4,,,
Maraial,PE,"11,961",2,0,0,2,0,0,,,
Mirandiba,PE,"14,488",2,2,1,2,2,1,,,
Moreilândia,PE,"11,020",2,2,1,2,2,1,,,
Orocó,PE,"13,536",4,0,2,4,0,2,,,
Palmeirina,PE,"8,172",2,0,3,2,0,3,,,
Paranatama,PE,"11,100",0,0,0,0,0,0,,,
Poção,PE,"11,029",2,1,2,2,1,2,,,
Primavera,PE,"13,705",5,4,3,5,5,3,,,
Quixaba,PE,"6,722",0,1,0,0,1,0,,,
Riacho das Almas,PE,"19,387",1,3,0,1,3,0,,,
Sairé,PE,"10,877",1,1,3,1,1,3,,,
Salgadinho,PE,"9,641",0,0,0,0,0,0,,,
Saloá,PE,"15,355",3,1,3,3,1,3,,,
Santa Cruz,PE,"13,946",6,1,0,6,1,1,,,
Santa Cruz da Baixa Verde,PE,"11,901",3,2,0,3,2,0,,,
Santa Filomena,PE,"13,561",3,3,0,3,3,0,,,
Santa Maria do Cambucá,PE,"13,215",6,2,6,6,2,6,,,
Santa Terezinha,PE,"11,103",2,0,1,2,0,2,,,
São Benedito do Sul,PE,"14,326",2,0,3,3,0,3,,,
São José da Coroa Grande,PE,"18,816",6,8,5,6,8,5,,,
São Vicente Ferrer,PE,"17,151",1,3,4,1,3,4,,,
Serrita,PE,"18,519",1,4,2,1,4,2,,,
Solidão,PE,"5,777",0,0,0,0,0,0,,,
Tacaimbó,PE,"12,695",0,2,6,0,2,7,,,
Terezinha,PE,"6,803",0,2,6,1,3,6,,,
Terra Nova,PE,"9,534",0,0,2,0,0,2,,,
Tracunhaém,PE,"13,155",2,3,1,2,3,1,,,
Triunfo,PE,"14,987",0,0,0,0,0,1,,,
Tuparetama,PE,"7,950",0,0,0,0,0,0,,,
Venturosa,PE,"16,823",1,5,6,1,5,6,,,
Verdejante,PE,"9,187",0,0,1,0,0,1,,,
Vertente do Lério,PE,"7,773",1,1,0,1,1,0,,,
Vertentes,PE,"18,716",4,2,3,4,2,3,,,
Xexéu,PE,"14,168",4,4,6,4,4,6,,,
Teresina,PI,"830,231",149,182,234,154,193,243,22.7,23.7,385º
Picos,PI,"75,481",10,12,13,13,13,15,15.5,18.1,524º
Corrente,PI,"25,737",2,1,4,2,3,5,9.1,13.0,726º
Luzilândia,PI,"24,824",3,3,1,3,3,1,9.4,9.4,929º
Parnaíba,PI,"147,732",10,13,15,10,14,16,8.6,9.0,953º
Bom Jesus,PI,"23,642",3,1,0,3,1,1,5.6,7.0,1090º
São Raimundo Nonato,PI,"33,148",3,1,1,3,2,2,5.0,7.0,1092º
Floriano,PI,"58,158",4,3,4,5,3,4,6.3,6.9,1106º
Valença do Piauí,PI,"20,393",0,0,2,0,0,3,3.3,4.9,1288º
Campo Maior,PI,"45,493",2,0,2,2,0,4,2.9,4.4,1335º
Altos,PI,"39,232",0,3,2,0,3,2,4.2,4.2,1352º
Oeiras,PI,"35,931",1,1,1,1,2,1,2.8,3.7,1399º
Piracuruca,PI,"27,971",2,0,0,2,1,0,2.4,3.6,1411º
Esperantina,PI,"38,322",0,1,3,0,1,3,3.5,3.5,1418º
José de Freitas,PI,"37,724",0,3,0,0,3,0,2.7,2.7,1494º
Luís Correia,PI,"29,034",1,0,1,1,0,1,2.3,2.3,1521º
Uruçuí,PI,"20,623",0,1,0,0,1,0,1.6,1.6,1565º
União,PI,"43,085",1,0,0,2,0,0,0.8,1.5,1574º
Barras,PI,"45,448",0,1,1,0,1,1,1.5,1.5,1582º
Piripiri,PI,"62,088",0,1,1,0,1,1,1.1,1.1,1610º
Miguel Alves,PI,"32,658",0,1,0,0,1,0,1.0,1.0,1612º
Pedro II,PI,"37,692",0,0,0,0,1,0,0.0,0.9,1618º
Batalha,PI,"26,023",0,0,0,0,0,0,0.0,0.0,1627º
Canto do Buriti,PI,"20,375",0,0,0,0,0,0,0.0,0.0,1627º
Cocal,PI,"27,067",0,0,0,0,0,0,0.0,0.0,1627º
Acauã,PI,"6,840",0,1,0,0,1,0,,,
Agricolândia,PI,"5,062",0,0,0,0,0,0,,,
Água Branca,PI,"16,744",0,1,2,0,1,2,,,
Alagoinha do Piauí,PI,"7,413",0,1,1,0,1,1,,,
Alegrete do Piauí,PI,"5,173",0,0,2,0,0,2,,,
Alto Longá,PI,"13,820",1,1,0,1,1,0,,,
Alvorada do Gurguéia,PI,"5,177",0,0,0,0,0,0,,,
Amarante,PI,"17,173",0,0,0,0,0,0,,,
Angical do Piauí,PI,"6,655",0,0,0,0,0,0,,,
Anísio de Abreu,PI,"9,385",0,0,0,0,0,0,,,
Antônio Almeida,PI,"3,068",0,0,0,0,0,0,,,
Aroazes,PI,"5,742",0,0,0,0,0,0,,,
Aroeiras do Itaim,PI,"2,442",0,0,0,0,0,0,,,
Arraial,PI,"4,655",0,0,0,1,0,0,,,
Assunção do Piauí,PI,"7,590",1,0,0,1,0,1,,,
Avelino Lopes,PI,"11,258",1,1,0,1,1,0,,,
Baixa Grande do Ribeiro,PI,"10,930",0,1,0,0,2,0,,,
Barra D'Alcântara,PI,"3,858",0,0,0,0,0,0,,,
Barreiras do Piauí,PI,"3,255",0,0,0,0,0,0,,,
Barro Duro,PI,"6,580",0,0,0,0,0,1,,,
Bela Vista do Piauí,PI,"3,854",0,0,0,0,0,0,,,
Belém do Piauí,PI,"3,388",0,0,0,0,0,0,,,
Beneditinos,PI,"9,943",0,0,0,0,0,0,,,
Bertolínia,PI,"5,350",0,1,0,0,1,0,,,
Betânia do Piauí,PI,"6,042",0,0,0,0,0,0,,,
Boa Hora,PI,"6,467",0,0,0,0,0,0,,,
Bocaina,PI,"4,394",0,0,0,0,0,0,,,
Bom Princípio do Piauí,PI,"5,407",0,0,0,0,0,0,,,
Bonfim do Piauí,PI,"5,471",0,0,0,0,0,0,,,
Boqueirão do Piauí,PI,"6,288",0,0,0,0,0,0,,,
Brasileira,PI,"8,057",0,0,1,1,0,1,,,
Brejo do Piauí,PI,"3,724",0,0,0,1,0,0,,,
Buriti dos Lopes,PI,"19,212",1,0,0,1,0,0,,,
Buriti dos Montes,PI,"8,079",0,1,0,0,2,0,,,
Cabeceiras do Piauí,PI,"10,144",0,0,0,0,0,0,,,
Cajazeiras do Piauí,PI,"3,413",0,0,0,0,0,0,,,
Cajueiro da Praia,PI,"7,321",0,0,0,0,0,0,,,
Caldeirão Grande do Piauí,PI,"5,700",0,0,0,1,0,0,,,
Campinas do Piauí,PI,"5,449",0,0,0,0,0,0,,,
Campo Alegre do Fidalgo,PI,"4,815",0,0,0,0,0,0,,,
Campo Grande do Piauí,PI,"5,704",0,0,0,0,0,0,,,
Campo Largo do Piauí,PI,"6,964",0,0,0,0,0,0,,,
Canavieira,PI,"3,892",0,0,0,0,0,0,,,
Capitão de Campos,PI,"11,092",0,0,0,0,0,0,,,
Capitão Gervásio Oliveira,PI,"3,946",0,0,0,0,0,0,,,
Caracol,PI,"10,448",0,0,0,0,0,0,,,
Caraúbas do Piauí,PI,"5,634",0,0,0,0,0,0,,,
Caridade do Piauí,PI,"4,915",1,0,0,1,0,0,,,
Castelo do Piauí,PI,"18,336",0,1,1,0,1,1,,,
Caxingó,PI,"5,174",0,0,0,0,0,0,,,
Cocal de Telha,PI,"4,567",0,0,0,0,0,0,,,
Cocal dos Alves,PI,"5,635",0,0,0,0,0,0,,,
Coivaras,PI,"3,872",0,1,0,0,1,0,,,
Colônia do Gurguéia,PI,"6,191",0,0,0,1,1,0,,,
Colônia do Piauí,PI,"7,461",0,0,0,0,0,0,,,
Conceição do Canindé,PI,"4,496",0,0,1,0,0,1,,,
Coronel José Dias,PI,"4,561",1,0,1,1,0,1,,,
Cristalândia do Piauí,PI,"7,973",1,1,1,1,1,1,,,
Cristino Castro,PI,"10,089",0,0,1,0,0,1,,,
Curimatá,PI,"10,948",0,0,0,2,1,1,,,
Currais,PI,"4,776",0,0,0,0,0,0,,,
Curral Novo do Piauí,PI,"4,990",1,0,0,1,0,0,,,
Curralinhos,PI,"4,265",0,0,0,0,0,0,,,
Demerval Lobão,PI,"13,398",0,1,0,0,1,0,,,
Dirceu Arcoverde,PI,"6,767",0,0,0,0,0,0,,,
Dom Expedito Lopes,PI,"6,662",1,0,1,1,0,1,,,
Dom Inocêncio,PI,"9,296",0,0,0,0,0,0,,,
Domingos Mourão,PI,"4,261",0,0,0,0,0,0,,,
Elesbão Veloso,PI,"14,394",1,2,0,1,2,0,,,
Eliseu Martins,PI,"4,738",0,0,0,0,0,0,,,
Fartura do Piauí,PI,"5,133",0,0,0,0,0,0,,,
Flores do Piauí,PI,"4,366",0,0,0,0,0,0,,,
Floresta do Piauí,PI,"2,492",0,0,0,0,0,0,,,
Francinópolis,PI,"5,233",0,0,0,0,0,0,,,
Francisco Ayres,PI,"4,363",0,0,0,0,0,0,,,
Francisco Macedo,PI,"2,961",0,0,0,0,0,0,,,
Francisco Santos,PI,"8,857",0,0,0,0,0,0,,,
Fronteiras,PI,"11,284",0,2,1,0,3,1,,,
Geminiano,PI,"5,237",1,0,0,1,0,0,,,
Gilbués,PI,"10,429",0,0,0,0,1,0,,,
Guadalupe,PI,"10,268",1,0,1,1,0,1,,,
Guaribas,PI,"4,432",0,0,0,1,0,0,,,
Hugo Napoleão,PI,"3,782",0,0,0,0,0,0,,,
Ilha Grande,PI,"9,069",0,2,1,0,2,1,,,
Inhuma,PI,"14,909",2,0,0,3,0,0,,,
Ipiranga do Piauí,PI,"9,463",0,0,0,0,0,0,,,
Isaías Coelho,PI,"8,307",0,0,0,0,0,0,,,
Itainópolis,PI,"11,219",0,0,0,0,0,0,,,
Itaueira,PI,"10,728",0,0,0,0,0,0,,,
Jacobina do Piauí,PI,"5,670",0,1,0,0,1,0,,,
Jaicós,PI,"18,364",0,0,0,0,0,0,,,
Jardim do Mulato,PI,"4,358",0,0,0,0,0,0,,,
Jatobá do Piauí,PI,"4,708",0,0,0,0,0,0,,,
Jerumenha,PI,"4,372",0,0,0,0,0,0,,,
João Costa,PI,"2,951",0,0,0,0,0,0,,,
Joaquim Pires,PI,"13,929",2,0,0,2,0,0,,,
Joca Marques,PI,"5,214",0,0,0,0,0,0,,,
Juazeiro do Piauí,PI,"4,793",0,0,0,0,0,0,,,
Júlio Borges,PI,"5,439",0,0,0,0,0,0,,,
Jurema,PI,"4,588",0,0,0,0,0,0,,,
Lagoa Alegre,PI,"8,184",0,0,0,0,0,0,,,
Lagoa de São Francisco,PI,"6,517",0,0,0,0,0,0,,,
Lagoa do Barro do Piauí,PI,"4,535",0,0,0,0,0,0,,,
Lagoa do Piauí,PI,"3,920",0,0,1,0,0,1,,,
Lagoa do Sítio,PI,"4,958",1,0,0,1,0,0,,,
Lagoinha do Piauí,PI,"2,721",0,0,0,0,0,0,,,
Landri Sales,PI,"5,229",0,0,1,0,0,1,,,
Madeiro,PI,"7,974",0,0,0,0,0,0,,,
Manoel Emídio,PI,"5,223",0,1,1,0,3,1,,,
Marcolândia,PI,"8,059",2,1,0,2,1,0,,,
Marcos Parente,PI,"4,453",0,0,0,1,0,0,,,
Massapê do Piauí,PI,"6,260",0,2,0,0,2,0,,,
Matias Olímpio,PI,"10,586",0,0,0,0,0,0,,,
Miguel Leão,PI,"1,236",0,1,0,0,1,0,,,
Milton Brandão,PI,"6,750",1,0,0,2,0,0,,,
Monsenhor Gil,PI,"10,337",0,0,1,0,0,2,,,
Monsenhor Hipólito,PI,"7,486",1,1,0,1,1,1,,,
Monte Alegre do Piauí,PI,"10,363",0,0,0,0,0,0,,,
Morro Cabeça no Tempo,PI,"4,053",0,1,0,0,1,0,,,
Morro do Chapéu do Piauí,PI,"6,574",0,0,0,0,0,1,,,
Murici dos Portelas,PI,"8,714",0,0,0,0,0,0,,,
Nazaré do Piauí,PI,"7,248",0,0,0,0,0,0,,,
Nazária,PI,"8,227",0,0,0,0,0,1,,,
Nossa Senhora de Nazaré,PI,"4,661",0,0,0,0,0,0,,,
Nossa Senhora dos Remédios,PI,"8,356",0,0,0,1,0,0,,,
Nova Santa Rita,PI,"4,233",0,0,0,0,0,0,,,
Novo Oriente do Piauí,PI,"6,459",0,0,1,0,0,1,,,
Novo Santo Antônio,PI,"3,329",0,0,0,0,0,0,,,
Olho D'Água do Piauí,PI,"2,678",0,0,0,0,0,0,,,
Padre Marcos,PI,"6,687",0,1,2,0,1,2,,,
Paes Landim,PI,"4,049",0,0,2,0,0,2,,,
Pajeú do Piauí,PI,"3,434",0,0,0,0,0,0,,,
Palmeira do Piauí,PI,"4,962",0,0,0,0,0,1,,,
Palmeirais,PI,"13,986",0,0,1,0,0,1,,,
Paquetá,PI,"3,891",0,0,0,0,0,1,,,
Parnaguá,PI,"10,417",0,0,1,0,0,1,,,
Passagem Franca do Piauí,PI,"4,424",0,0,0,0,1,0,,,
Patos do Piauí,PI,"6,178",0,0,0,0,0,0,,,
Pau D'Arco do Piauí,PI,"3,858",0,0,0,0,0,0,,,
Paulistana,PI,"19,947",3,2,0,3,3,0,,,
Pavussu,PI,"3,629",1,0,0,1,0,0,,,
Pedro Laurentino,PI,"2,445",0,0,0,0,0,0,,,
Pimenteiras,PI,"11,798",1,0,0,1,0,0,,,
Pio IX,PI,"17,848",0,0,1,0,0,1,,,
Porto,PI,"12,097",0,1,0,0,1,0,,,
Porto Alegre do Piauí,PI,"2,606",0,0,0,0,0,0,,,
Prata do Piauí,PI,"3,088",0,0,0,0,1,0,,,
Queimada Nova,PI,"8,679",0,0,0,0,0,0,,,
Redenção do Gurguéia,PI,"8,494",0,0,0,0,0,1,,,
Regeneração,PI,"17,569",0,0,1,0,0,1,,,
Riacho Frio,PI,"4,229",0,0,0,0,0,0,,,
Ribeira do Piauí,PI,"4,321",0,0,0,0,0,0,,,
Ribeiro Gonçalves,PI,"7,015",0,0,0,0,0,0,,,
Rio Grande do Piauí,PI,"6,282",0,0,0,0,0,0,,,
Santa Cruz do Piauí,PI,"6,065",0,0,0,0,0,0,,,
Santa Cruz dos Milagres,PI,"3,864",0,0,0,0,0,0,,,
Santa Filomena,PI,"6,106",0,0,0,0,0,0,,,
Santa Luz,PI,"5,624",1,0,0,2,0,0,,,
Santa Rosa do Piauí,PI,"5,145",0,0,0,0,0,0,,,
Santana do Piauí,PI,"4,489",0,0,0,0,0,0,,,
Santo Antônio de Lisboa,PI,"6,136",0,0,0,0,0,0,,,
Santo Antônio dos Milagres,PI,"2,087",0,0,0,0,0,0,,,
Santo Inácio do Piauí,PI,"3,679",0,0,0,0,0,0,,,
São Braz do Piauí,PI,"4,332",0,0,0,0,0,0,,,
São Félix do Piauí,PI,"2,925",0,0,0,0,0,0,,,
São Francisco de Assis do Piauí,PI,"5,686",0,0,0,0,0,0,,,
São Francisco do Piauí,PI,"6,290",0,0,0,0,0,0,,,
São Gonçalo do Gurguéia,PI,"2,901",0,0,0,0,0,0,,,
São Gonçalo do Piauí,PI,"4,831",0,0,0,0,0,0,,,
São João da Canabrava,PI,"4,476",0,0,0,0,0,0,,,
São João da Fronteira,PI,"5,718",0,0,0,0,0,0,,,
São João da Serra,PI,"6,079",1,1,0,1,1,0,,,
São João da Varjota,PI,"4,693",0,0,0,0,0,0,,,
São João do Arraial,PI,"7,578",0,1,0,0,1,0,,,
São João do Piauí,PI,"19,852",0,1,0,0,1,0,,,
São José do Divino,PI,"5,189",0,0,0,0,0,0,,,
São José do Peixe,PI,"3,682",0,0,0,0,0,0,,,
São José do Piauí,PI,"6,574",0,0,0,1,1,0,,,
São Julião,PI,"5,719",0,1,0,2,1,0,,,
São Lourenço do Piauí,PI,"4,451",0,0,0,0,0,0,,,
São Luis do Piauí,PI,"2,573",0,0,0,0,0,0,,,
São Miguel da Baixa Grande,PI,"2,386",0,0,0,0,0,0,,,
São Miguel do Fidalgo,PI,"2,974",0,0,0,0,0,0,,,
São Miguel do Tapuio,PI,"18,033",0,0,1,1,1,1,,,
São Pedro do Piauí,PI,"13,810",0,0,1,0,0,1,,,
Sebastião Barros,PI,"3,475",0,0,1,1,0,1,,,
Sebastião Leal,PI,"4,159",0,0,0,0,0,0,,,
Sigefredo Pacheco,PI,"9,706",0,0,0,0,0,0,,,
Simões,PI,"14,267",0,1,1,0,1,1,,,
Simplício Mendes,PI,"12,251",0,0,2,0,0,3,,,
Socorro do Piauí,PI,"4,495",0,0,0,0,1,1,,,
Sussuapara,PI,"6,409",0,0,0,0,1,0,,,
Tamboril do Piauí,PI,"2,805",0,0,1,0,0,2,,,
Tanque do Piauí,PI,"2,663",0,0,0,0,0,0,,,
Várzea Branca,PI,"4,875",0,0,0,0,0,0,,,
Várzea Grande,PI,"4,316",0,0,0,0,0,1,,,
Vera Mendes,PI,"2,998",0,0,1,0,0,1,,,
Vila Nova do Piauí,PI,"2,990",0,1,0,0,1,0,,,
Wall Ferraz,PI,"4,323",1,0,0,1,0,0,,,
Campina Grande do Sul,PR,"39,404",38,39,32,40,39,32,92.2,93.9,6º
Guaíra,PR,"31,013",32,28,22,32,28,23,88.1,89.2,8º
Piraquara,PR,"96,023",79,65,50,79,65,51,67.3,67.7,28º
Almirante Tamandaré,PR,"105,458",66,77,60,68,78,60,64.2,65.1,33º
Foz do Iguaçu,PR,"255,718",161,119,155,165,121,158,56.7,57.9,46º
Pinhais,PR,"119,379",96,40,54,96,40,55,53.1,53.3,64º
Sarandi,PR,"84,573",30,39,52,31,39,52,47.7,48.1,77º
Colombo,PR,"217,443",85,104,112,88,104,117,46.1,47.4,81º
Fazenda Rio Grande,PR,"84,514",44,37,35,45,40,35,45.8,47.3,82º
São José dos Pinhais,PR,"273,255",132,111,88,135,113,94,40.4,41.7,122º
Araucária,PR,"122,878",55,29,59,56,31,64,38.8,41.0,128º
Santa Terezinha de Itaipu,PR,"21,215",11,9,6,11,9,6,40.9,40.9,129º
Campo Mourão,PR,"88,209",45,19,40,46,21,40,39.3,40.4,131º
Curitiba,PR,"1,776,761",796,678,587,807,689,596,38.7,39.2,143º
Santa Helena,PR,"23,855",5,9,13,5,9,14,37.7,39.1,144º
Cascavel,PR,"292,372",100,103,128,103,103,131,37.7,38.4,150º
Campo Magro,PR,"25,513",9,11,8,9,12,8,36.6,37.9,160º
Rio Branco do Sul,PR,"30,848",13,8,12,14,8,13,35.7,37.8,161º
São Miguel do Iguaçu,PR,"25,971",8,9,11,8,9,11,35.9,35.9,186º
Guaratuba,PR,"32,826",15,7,13,15,7,13,35.5,35.5,192º
Quatro Barras,PR,"20,409",4,9,6,4,9,7,31.0,32.7,224º
Campo Largo,PR,"115,336",41,26,35,42,27,36,29.5,30.3,258º
Umuarama,PR,"102,184",39,33,16,41,33,17,28.7,29.7,270º
Telêmaco Borba,PR,"71,176",19,16,24,20,17,26,27.6,29.5,274º
Rolândia,PR,"59,139",21,15,16,21,15,16,29.3,29.3,277º
Mandirituba,PR,"22,927",2,10,5,2,10,6,24.7,26.2,325º
Laranjeiras do Sul,PR,"30,891",6,8,9,7,8,9,24.8,25.9,332º
Ortigueira,PR,"23,103",3,6,7,3,6,8,23.1,24.5,367º
Londrina,PR,"515,707",113,102,143,121,109,148,23.1,24.4,370º
Cambé,PR,"98,024",15,18,33,16,18,35,22.4,23.5,389º
Itaperuçu,PR,"24,573",0,8,7,0,9,7,20.3,21.7,425º
Toledo,PR,"122,502",25,25,22,25,28,22,19.6,20.4,454º
Pontal do Paraná,PR,"21,917",8,1,3,9,1,3,18.3,19.8,466º
Reserva,PR,"25,353",3,4,7,3,4,8,18.4,19.7,468º
Marechal Cândido Rondon,PR,"47,697",12,9,7,12,9,7,19.6,19.6,473º
Andirá,PR,"20,451",4,0,6,4,2,6,16.3,19.6,474º
Paiçandu,PR,"36,717",6,3,11,6,4,11,18.2,19.1,490º
Paranavaí,PR,"82,472",20,13,13,20,13,14,18.6,19.0,495º
Goioerê,PR,"28,908",4,5,3,6,5,5,13.8,18.4,513º
Quedas do Iguaçu,PR,"31,095",5,4,7,5,5,7,17.2,18.2,522º
Cornélio Procópio,PR,"46,939",9,8,5,10,8,7,15.6,17.8,531º
Altônia,PR,"20,711",7,1,3,7,1,3,17.7,17.7,535º
Ibiporã,PR,"49,111",6,8,11,7,8,11,17.0,17.6,537º
Palotina,PR,"29,123",6,4,4,7,4,4,16.0,17.2,554º
Guarapuava,PR,"169,252",21,28,29,21,30,31,15.4,16.1,586º
Cianorte,PR,"71,855",9,12,10,9,13,10,14.4,14.8,638º
Ivaiporã,PR,"31,748",7,3,3,7,3,4,13.6,14.7,642º
Matinhos,PR,"30,220",5,3,3,5,3,5,12.1,14.3,656º
Francisco Beltrão,PR,"80,727",5,13,11,5,14,15,12.0,14.0,668º
Ubiratã,PR,"21,402",1,2,3,2,3,4,9.3,14.0,670º
Lapa,PR,"45,334",6,6,4,6,7,6,11.8,14.0,672º
Coronel Vivida,PR,"21,514",4,1,3,4,1,4,12.4,13.9,674º
Nova Esperança,PR,"26,749",5,1,4,5,2,4,12.5,13.7,683º
Apucarana,PR,"122,896",21,18,10,21,19,10,13.3,13.6,688º
Castro,PR,"67,613",7,6,12,7,6,14,12.3,13.3,703º
Maringá,PR,"367,410",38,46,56,41,47,57,12.7,13.2,711º
Arapongas,PR,"106,978",10,15,14,12,15,15,12.2,13.1,715º
Paranaguá,PR,"142,452",21,14,19,21,14,20,12.6,12.9,728º
Medianeira,PR,"42,420",4,3,6,5,5,6,10.2,12.6,749º
Pinhão,PR,"30,480",3,6,1,3,6,2,10.9,12.0,776º
Mandaguaçu,PR,"20,227",1,3,2,1,4,2,9.9,11.5,811º
Palmas,PR,"44,107",6,6,2,7,6,2,10.6,11.3,825º
Assis Chateaubriand,PR,"32,981",0,4,7,0,4,7,11.1,11.1,835º
Ponta Grossa,PR,"317,339",41,26,21,43,30,26,9.2,10.4,871º
Pato Branco,PR,"73,901",5,5,9,6,5,11,8.6,9.9,897º
Irati,PR,"56,790",5,1,5,6,2,7,6.5,8.8,969º
Jacarezinho,PR,"39,045",1,7,1,1,8,1,7.7,8.5,981º
Marialva,PR,"32,451",2,2,3,2,3,3,7.2,8.2,1010º
Mandaguari,PR,"32,849",3,2,1,3,4,1,6.1,8.1,1019º
Imbituva,PR,"29,053",3,0,4,3,0,4,8.0,8.0,1021º
Loanda,PR,"21,451",2,2,1,2,2,1,7.8,7.8,1036º
Colorado,PR,"22,555",0,2,3,0,2,3,7.4,7.4,1059º
Dois Vizinhos,PR,"36,813",1,4,1,1,5,2,5.4,7.2,1069º
Santo Antônio da Platina,PR,"43,125",3,4,2,3,4,2,7.0,7.0,1099º
União da Vitória,PR,"53,372",2,3,3,2,4,5,5.0,6.9,1108º
Piraí do Sul,PR,"23,693",0,3,0,0,4,0,4.2,5.6,1211º
Bandeirantes,PR,"31,951",2,2,1,2,2,1,5.2,5.2,1250º
Palmeira,PR,"32,326",1,0,2,2,1,2,3.1,5.2,1263º
Cruzeiro do Oeste,PR,"20,446",1,1,1,1,1,1,4.9,4.9,1294º
Rio Negro,PR,"31,662",1,3,0,1,3,0,4.2,4.2,1359º
Cambará,PR,"24,060",1,1,0,1,1,1,2.8,4.2,1364º
Jaguariaíva,PR,"32,882",2,0,0,3,0,1,2.0,4.1,1373º
Arapoti,PR,"26,153",0,2,0,0,2,1,2.5,3.8,1393º
Ibaiti,PR,"29,099",0,0,1,2,0,1,1.1,3.4,1424º
Prudentópolis,PR,"49,150",0,1,3,0,1,4,2.7,3.4,1430º
São Mateus do Sul,PR,"41,965",2,1,1,2,1,1,3.2,3.2,1453º
Pitanga,PR,"32,152",0,1,1,0,1,1,2.1,2.1,1536º
Astorga,PR,"24,859",0,0,0,0,0,0,0.0,0.0,1627º
Jandaia do Sul,PR,"20,359",0,0,0,0,0,0,0.0,0.0,1627º
Abatiá,PR,"7,690",1,0,0,1,0,0,,,
Adrianópolis,PR,"6,281",1,0,0,1,0,0,,,
Agudos do Sul,PR,"8,429",1,2,0,1,2,0,,,
Altamira do Paraná,PR,"3,900",2,0,0,2,0,0,,,
Alto Paraíso,PR,"3,119",1,2,1,1,2,1,,,
Alto Paraná,PR,"13,806",0,1,4,0,1,5,,,
Alto Piquiri,PR,"10,092",0,0,1,0,0,1,,,
Alvorada do Sul,PR,"10,439",0,0,3,0,0,3,,,
Amaporã,PR,"5,562",0,0,0,0,0,0,,,
Ampére,PR,"17,563",3,1,5,3,1,5,,,
Anahy,PR,"2,854",0,0,0,0,0,0,,,
Ângulo,PR,"2,862",0,0,0,0,0,0,,,
Antonina,PR,"18,849",2,0,1,2,0,1,,,
